run_id,owner,notebook,model,config,embedding,units,dropout,trainable_emb,batch_size,learning_rate,epochs_run,best_epoch,params,val_loss,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,train_time_s,timestamp,notes,dataset_checksum,tier,n_params,hyperparams
GRU_S1,zawad,05_gru_bert_zawad.ipynb,GRU,S1,glove,64.0,0.3,False,64,0.001,30,29,,1.3276050090789795,0.640538885486834,0.6286679626704441,,,,71.6,2026-08-21 19:03:26,required run,13885266476465583340,recurrent,1023572.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
GRU_S2,zawad,05_gru_bert_zawad.ipynb,GRU,S2,word2vec,64.0,0.3,False,64,0.001,30,29,,1.3079893589019775,0.6313533374157991,0.6130956820191217,,,,90.1,2026-08-21 19:04:59,required run,13885266476465583340,recurrent,1023572.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
Bi-GRU_S1,zawad,05_gru_bert_zawad.ipynb,Bi-GRU,S1,glove,64.0,0.3,False,64,0.001,22,17,,1.1905680894851685,0.6399265156154317,0.6270353100589089,,,,81.8,2026-08-21 19:07:19,required run,13885266476465583340,recurrent,1047124.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
Bi-GRU_S2,zawad,05_gru_bert_zawad.ipynb,Bi-GRU,S2,word2vec,64.0,0.3,False,64,0.001,18,13,,1.176837921142578,0.6301285976729945,0.6104076483369478,,,,65.1,2026-08-21 19:08:28,required run,13885266476465583340,recurrent,1047124.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
GRU_S3,zawad,05_gru_bert_zawad.ipynb,GRU,S3,word2vec,128.0,0.5,True,64,0.001,19,14,,1.335525631904602,0.6968769136558481,0.6887913216183994,0.6304048471495456,0.6213511612628579,0.6319859727985578,51.7,2026-08-21 19:05:53,"required run | best config, evaluated on test",13885266476465583340,recurrent,1071700.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
Bi-GRU_S3,zawad,05_gru_bert_zawad.ipynb,Bi-GRU,S3,word2vec,128.0,0.5,True,64,0.001,23,18,,1.5561827421188354,0.711573790569504,0.7069486385469226,0.6408702836684109,0.6304087616350864,0.6412523404055545,89.9,2026-08-21 19:10:02,"required run | best config, evaluated on test",13885266476465583340,recurrent,1143380.0,"{""max_epochs"": 30, ""patience"": 5, ""clipnorm"": 1.0, ""monitor"": ""val_accuracy"", ""max_len"": 250}"
BERT_B1,zawad,05_gru_bert_zawad.ipynb,BERT-Base,B1,wordpiece,,,True,16,2e-05,3,3,,0.7899584174156189,0.7679118187385181,0.7463054041378456,,,,432.7,2026-08-21 19:18:02,required run,13885266476465583340,transformer,109497620.0,"{""max_len"": 256, ""warmup_ratio"": 0.1, ""warmup_steps"": 173, ""weight_decay"": 0.01, ""max_grad_norm"": 1.0, ""fp16"": true, ""base_model"": ""bert-base-uncased""}"
BERT_B2,zawad,05_gru_bert_zawad.ipynb,BERT-Base,B2,wordpiece,,,True,16,3e-05,3,3,,0.7789135575294495,0.7777097366809553,0.7626587658878023,,,,472.7,2026-08-21 19:26:03,required run,13885266476465583340,transformer,109497620.0,"{""max_len"": 256, ""warmup_ratio"": 0.1, ""warmup_steps"": 173, ""weight_decay"": 0.01, ""max_grad_norm"": 1.0, ""fp16"": true, ""base_model"": ""bert-base-uncased""}"
BERT_B3,zawad,05_gru_bert_zawad.ipynb,BERT-Base,B3,wordpiece,,,True,32,5e-05,4,4,,0.7823707461357117,0.7832210655235763,0.7752604007459329,0.7345083998898375,0.722483084141152,0.7350433229181103,602.4,2026-08-21 19:36:14,"required run | best config, evaluated on test",13885266476465583340,transformer,109497620.0,"{""max_len"": 256, ""warmup_ratio"": 0.1, ""warmup_steps"": 116, ""weight_decay"": 0.01, ""max_grad_norm"": 1.0, ""fp16"": true, ""base_model"": ""bert-base-uncased""}"
BERT_ABL_512,zawad,05_gru_bert_zawad.ipynb,BERT-Base,B3,wordpiece,,,True,32,5e-05,4,3,,0.7674752473831177,0.7887323943661971,0.7781660396151384,0.7379509776920958,0.724065096533046,0.7371708340307994,1113.9,2026-08-21 19:55:50,"ablation | max_len 512, not a required run",13885266476465583340,transformer,109497620.0,"{""max_len"": 512, ""warmup_ratio"": 0.1, ""warmup_steps"": 116, ""weight_decay"": 0.01, ""max_grad_norm"": 1.0, ""fp16"": true, ""base_model"": ""bert-base-uncased""}"
