owner,tier,kind,model,config,embedding,units,dropout,trainable_emb,learning_rate,epochs_run,best_epoch,val_accuracy,val_macro_f1,train_time_s
hasib,classical,required,LogisticRegression,LR-C1,tfidf_clean,,,,,,,0.7385,0.7241,10.38
hasib,classical,required,LogisticRegression,LR-C2,tfidf_clean,,,,,,,0.7477,0.7377,12.11
hasib,classical,ablation,LogisticRegression,LR-C2-light,tfidf_light,,,,,,,0.7312,0.7218,15.94
hasib,classical,required,LogisticRegression,LR-C3,tfidf_clean,,,,,,,0.7446,0.7353,11.03
hasib,classical,required,MultinomialNB,NB-C1,tfidf_clean,,,,,,,0.711,0.6887,0.03
hasib,classical,required,MultinomialNB,NB-C2,tfidf_clean,,,,,,,0.7508,0.7348,0.02
hasib,classical,ablation,MultinomialNB,NB-C2-light,tfidf_light,,,,,,,0.7336,0.7179,0.03
hasib,classical,required,MultinomialNB,NB-C3,tfidf_clean,,,,,,,0.7404,0.7317,0.03
hasib,classical,required,RandomForest,RF-C1,tfidf_clean,,,,,,,0.6632,0.6459,63.23
hasib,classical,required,RandomForest,RF-C2,tfidf_clean,,,,,,,0.6767,0.6593,47.06
hasib,classical,ablation,RandomForest,RF-C2-light,tfidf_light,,,,,,,0.6699,0.6518,82.74
hasib,classical,required,RandomForest,RF-C3,tfidf_clean,,,,,,,0.6412,0.6238,97.66
zawad,recurrent,required,Bi-GRU,S1,glove,64.0,0.3,0.0,0.001,22.0,17.0,0.6399265156154317,0.6270353100589089,81.8
zawad,recurrent,required,Bi-GRU,S2,word2vec,64.0,0.3,0.0,0.001,18.0,13.0,0.6301285976729945,0.6104076483369478,65.1
zawad,recurrent,required,Bi-GRU,S3,word2vec,128.0,0.5,1.0,0.001,23.0,18.0,0.711573790569504,0.7069486385469226,89.9
fabiha,recurrent,required,Bi-LSTM,S1,glove,64.0,0.3,0.0,0.001,30.0,28.0,0.6521739130434783,0.6377630603212171,113.9
fabiha,recurrent,required,Bi-LSTM,S2,word2vec,64.0,0.3,0.0,0.001,26.0,21.0,0.6319657072872015,0.6130299909735851,98.8
fabiha,recurrent,required,Bi-LSTM,S3,word2vec,128.0,0.5,1.0,0.001,25.0,20.0,0.739742804654011,0.7283051529247271,104.6
hasib,recurrent,required,BiSimpleRNN,S1,glove,64.0,0.3,0.0,0.001,22.0,17.0,0.4207,0.388,132.55
hasib,recurrent,required,BiSimpleRNN,S2,word2vec,64.0,0.3,0.0,0.001,22.0,17.0,0.4501,0.4114,119.73
hasib,recurrent,required,BiSimpleRNN,S3,word2vec,128.0,0.5,1.0,0.001,30.0,30.0,0.496,0.464,190.03
zawad,recurrent,required,GRU,S1,glove,64.0,0.3,0.0,0.001,30.0,29.0,0.640538885486834,0.6286679626704441,71.6
zawad,recurrent,required,GRU,S2,word2vec,64.0,0.3,0.0,0.001,30.0,29.0,0.6313533374157991,0.6130956820191217,90.1
zawad,recurrent,required,GRU,S3,word2vec,128.0,0.5,1.0,0.001,19.0,14.0,0.6968769136558481,0.6887913216183994,51.7
fabiha,recurrent,ablation,LSTM,ABL-clean,glove,64.0,0.3,0.0,0.001,30.0,30.0,0.6319657072872015,0.6219278787933095,79.5
fabiha,recurrent,ablation,LSTM,ABL-light,glove,64.0,0.3,0.0,0.001,30.0,30.0,0.6099203919167177,0.5889085674673126,73.3
fabiha,recurrent,required,LSTM,S1,glove,64.0,0.3,0.0,0.001,30.0,30.0,0.6246172688303735,0.6120435771894809,76.1
fabiha,recurrent,required,LSTM,S2,word2vec,64.0,0.3,0.0,0.001,30.0,28.0,0.6301285976729945,0.6094240192241732,78.6
fabiha,recurrent,required,LSTM,S3,word2vec,128.0,0.5,1.0,0.001,30.0,28.0,0.7250459277403551,0.7122221610303436,78.9
hasib,recurrent,required,SimpleRNN,S1,glove,64.0,0.3,0.0,0.001,19.0,14.0,0.3319,0.2853,65.34
hasib,recurrent,required,SimpleRNN,S2,word2vec,64.0,0.3,0.0,0.001,29.0,24.0,0.3938,0.3351,91.78
hasib,recurrent,required,SimpleRNN,S3,word2vec,128.0,0.5,1.0,0.001,24.0,19.0,0.4317,0.3744,88.31
zawad,transformer,required,BERT-Base,B1,wordpiece,,,1.0,2e-05,3.0,3.0,0.7679118187385181,0.7463054041378456,432.7
zawad,transformer,required,BERT-Base,B2,wordpiece,,,1.0,3e-05,3.0,3.0,0.7777097366809553,0.7626587658878023,472.7
zawad,transformer,required,BERT-Base,B3,wordpiece,,,1.0,5e-05,4.0,4.0,0.7832210655235763,0.7752604007459329,602.4
zawad,transformer,ablation,BERT-Base,B3,wordpiece,,,1.0,5e-05,4.0,3.0,0.7887323943661971,0.7781660396151384,1113.9
